angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"[564, 349, 174, 223]",0.0,0.23,0.01,0.46,0.21,0.05
0.02,"[560, 351, 174, 221]",0.0,0.16,0.01,0.57,0.22,0.02
0.14,"[563, 349, 174, 222]",0.0,0.09,0.01,0.55,0.18,0.04
0.05,"[563, 353, 173, 220]",0.0,0.05,0.01,0.73,0.15,0.0
0.04,"[565, 353, 170, 220]",0.0,0.06,0.01,0.74,0.15,0.01
0.06,"[565, 356, 171, 216]",0.0,0.08,0.01,0.7,0.14,0.02
0.07,"[564, 354, 172, 219]",0.0,0.06,0.01,0.63,0.22,0.0
0.12,"[561, 353, 174, 217]",0.0,0.1,0.01,0.58,0.13,0.05
0.12,"[559, 353, 177, 221]",0.0,0.04,0.01,0.71,0.11,0.01
0.04,"[565, 356, 173, 222]",0.0,0.02,0.01,0.69,0.21,0.02
0.02,"[566, 351, 170, 222]",0.0,0.11,0.01,0.71,0.1,0.05
0.03,"[564, 354, 174, 225]",0.0,0.03,0.0,0.8,0.14,0.01
0.01,"[564, 349, 171, 225]",0.0,0.18,0.01,0.54,0.18,0.08
0.02,"[561, 354, 174, 223]",0.0,0.13,0.03,0.5,0.09,0.23
0.14,"[560, 349, 177, 237]",0.0,0.2,0.02,0.1,0.1,0.43
0.03,"[568, 348, 172, 240]",0.0,0.07,0.0,0.01,0.0,0.89
0.01,"[563, 343, 177, 249]",0.0,0.11,0.0,0.0,0.0,0.88
0.02,"[563, 344, 177, 247]",0.0,0.06,0.0,0.0,0.0,0.92
0.01,"[563, 344, 178, 245]",0.0,0.07,0.0,0.01,0.01,0.9
0.07,"[566, 344, 173, 239]",0.0,0.14,0.01,0.06,0.02,0.7
0.0,"[564, 344, 174, 240]",0.0,0.07,0.0,0.0,0.0,0.92
0.05,"[569, 343, 170, 237]",0.0,0.13,0.01,0.05,0.02,0.74
0.01,"[570, 343, 169, 236]",0.0,0.06,0.0,0.01,0.01,0.91
0.07,"[570, 342, 170, 237]",0.0,0.1,0.0,0.05,0.04,0.74
0.03,"[571, 342, 168, 235]",0.0,0.06,0.0,0.02,0.01,0.89
0.01,"[569, 342, 169, 235]",0.0,0.06,0.0,0.02,0.01,0.9
0.05,"[569, 341, 170, 238]",0.0,0.13,0.0,0.01,0.01,0.81
0.02,"[567, 343, 173, 238]",0.0,0.03,0.0,0.01,0.01,0.93
0.04,"[568, 343, 173, 238]",0.0,0.14,0.0,0.02,0.02,0.78
0.01,"[567, 348, 171, 231]",0.0,0.02,0.0,0.01,0.01,0.95
0.06,"[563, 348, 174, 237]",0.0,0.04,0.01,0.06,0.04,0.79
0.02,"[563, 347, 174, 236]",0.0,0.03,0.0,0.01,0.01,0.93
0.32,"[563, 342, 177, 236]",0.0,0.13,0.0,0.08,0.02,0.45
0.4,"[570, 351, 167, 226]",0.0,0.09,0.07,0.14,0.06,0.23
0.23,"[567, 353, 168, 220]",0.0,0.17,0.01,0.29,0.21,0.09
0.35,"[571, 354, 165, 216]",0.0,0.24,0.04,0.24,0.09,0.05
0.11,"[572, 353, 164, 215]",0.0,0.18,0.08,0.49,0.07,0.07
0.12,"[563, 352, 169, 220]",0.0,0.09,0.02,0.58,0.04,0.14
0.02,"[561, 354, 170, 219]",0.0,0.04,0.01,0.86,0.04,0.02
0.15,"[558, 349, 173, 223]",0.0,0.02,0.01,0.78,0.02,0.02
0.14,"[560, 351, 170, 220]",0.0,0.05,0.02,0.68,0.08,0.04
0.12,"[560, 353, 170, 217]",0.0,0.05,0.01,0.77,0.04,0.01
0.24,"[564, 351, 170, 222]",0.0,0.02,0.06,0.58,0.04,0.06
0.13,"[565, 351, 169, 220]",0.0,0.02,0.06,0.65,0.03,0.1
0.29,"[565, 352, 167, 220]",0.0,0.03,0.04,0.44,0.07,0.12
0.27,"[566, 355, 168, 216]",0.0,0.04,0.03,0.54,0.05,0.07
0.4,"[566, 359, 167, 214]",0.01,0.04,0.02,0.4,0.07,0.07
0.15,"[564, 359, 169, 213]",0.0,0.02,0.12,0.52,0.04,0.15
0.32,"[567, 359, 166, 213]",0.0,0.02,0.1,0.35,0.03,0.18
0.67,"[565, 359, 168, 211]",0.0,0.04,0.02,0.19,0.04,0.04
0.77,"[568, 362, 165, 207]",0.01,0.01,0.02,0.13,0.02,0.04
0.71,"[567, 361, 166, 210]",0.01,0.04,0.04,0.14,0.04,0.03
0.77,"[568, 363, 164, 207]",0.0,0.01,0.01,0.15,0.02,0.04
0.43,"[568, 363, 164, 208]",0.0,0.03,0.05,0.36,0.06,0.07
0.27,"[568, 363, 165, 209]",0.0,0.05,0.07,0.46,0.05,0.1
0.88,"[567, 362, 165, 209]",0.0,0.01,0.02,0.06,0.02,0.01
0.22,"[566, 363, 166, 209]",0.0,0.03,0.13,0.46,0.05,0.12
0.78,"[566, 362, 166, 210]",0.0,0.01,0.02,0.14,0.02,0.03
0.48,"[567, 363, 165, 209]",0.0,0.01,0.07,0.35,0.04,0.05
0.63,"[566, 363, 166, 210]",0.0,0.02,0.04,0.2,0.04,0.07
0.71,"[566, 361, 166, 213]",0.0,0.03,0.02,0.14,0.08,0.02
0.71,"[566, 362, 166, 210]",0.01,0.06,0.01,0.13,0.06,0.03
0.73,"[566, 362, 167, 213]",0.0,0.01,0.02,0.18,0.03,0.03
0.82,"[567, 362, 167, 211]",0.0,0.02,0.02,0.07,0.06,0.01
0.45,"[563, 361, 169, 214]",0.0,0.02,0.04,0.43,0.04,0.02
0.31,"[567, 362, 167, 214]",0.0,0.02,0.11,0.47,0.04,0.04
0.6,"[565, 361, 166, 213]",0.0,0.02,0.02,0.27,0.05,0.03
0.61,"[566, 362, 167, 212]",0.0,0.03,0.02,0.23,0.06,0.04
0.34,"[566, 363, 167, 212]",0.0,0.02,0.03,0.51,0.05,0.05
0.07,"[569, 364, 164, 211]",0.0,0.03,0.08,0.55,0.09,0.18
0.32,"[566, 363, 167, 212]",0.0,0.03,0.04,0.47,0.07,0.07
0.43,"[566, 363, 166, 212]",0.0,0.03,0.02,0.41,0.06,0.05
0.51,"[566, 362, 167, 214]",0.0,0.03,0.04,0.28,0.09,0.04
0.54,"[566, 363, 166, 212]",0.0,0.04,0.01,0.29,0.07,0.05
0.34,"[566, 362, 167, 215]",0.0,0.03,0.09,0.4,0.08,0.06
0.05,"[568, 365, 166, 215]",0.0,0.04,0.03,0.78,0.06,0.03
0.03,"[569, 365, 165, 214]",0.0,0.05,0.17,0.52,0.05,0.18
0.04,"[568, 366, 166, 216]",0.0,0.03,0.02,0.8,0.07,0.05
0.05,"[570, 368, 165, 218]",0.0,0.07,0.27,0.45,0.14,0.02
0.05,"[569, 366, 168, 222]",0.0,0.05,0.44,0.36,0.08,0.02
0.07,"[570, 365, 169, 225]",0.0,0.02,0.56,0.26,0.09,0.01
0.05,"[571, 368, 166, 220]",0.0,0.05,0.26,0.47,0.11,0.06
0.02,"[570, 368, 167, 220]",0.0,0.03,0.23,0.61,0.08,0.03
0.01,"[569, 365, 167, 218]",0.0,0.04,0.07,0.78,0.07,0.03
0.02,"[572, 366, 166, 217]",0.0,0.05,0.14,0.69,0.09,0.02
0.04,"[574, 366, 166, 218]",0.0,0.07,0.06,0.64,0.18,0.01
0.01,"[574, 368, 165, 217]",0.0,0.02,0.13,0.8,0.03,0.01
0.01,"[579, 370, 164, 217]",0.0,0.06,0.21,0.5,0.21,0.01
0.01,"[578, 369, 166, 217]",0.0,0.03,0.3,0.57,0.07,0.02
0.01,"[580, 366, 167, 218]",0.0,0.07,0.07,0.75,0.08,0.01
0.01,"[582, 369, 166, 218]",0.0,0.01,0.55,0.39,0.03,0.01
0.03,"[581, 360, 172, 223]",0.0,0.01,0.14,0.75,0.06,0.01
0.02,"[582, 361, 168, 224]",0.0,0.02,0.17,0.71,0.05,0.03
0.02,"[585, 359, 169, 224]",0.0,0.01,0.36,0.6,0.01,0.01
0.02,"[583, 366, 170, 221]",0.0,0.04,0.36,0.46,0.04,0.08
0.02,"[583, 364, 170, 224]",0.0,0.02,0.12,0.81,0.03,0.01
0.01,"[585, 360, 170, 232]",0.0,0.01,0.35,0.61,0.02,0.01
0.01,"[587, 360, 170, 223]",0.0,0.01,0.03,0.91,0.03,0.0
0.05,"[585, 359, 172, 228]",0.0,0.01,0.17,0.74,0.03,0.01
0.02,"[586, 358, 171, 228]",0.0,0.01,0.15,0.8,0.02,0.01
0.05,"[584, 356, 173, 230]",0.0,0.01,0.15,0.75,0.02,0.02
0.02,"[587, 364, 164, 223]",0.0,0.01,0.13,0.8,0.03,0.01
0.04,"[584, 361, 169, 226]",0.0,0.02,0.12,0.79,0.02,0.01
0.04,"[584, 361, 169, 225]",0.0,0.01,0.16,0.76,0.02,0.0
0.01,"[585, 361, 170, 234]",0.0,0.0,0.6,0.38,0.01,0.01
0.03,"[580, 366, 171, 220]",0.0,0.02,0.08,0.82,0.04,0.0
